method,run_pair,pairwise_ARI
Seurat,run1_vs_run54,0.998601253148603
Seurat,run1_vs_run55,1
Seurat,run1_vs_run56,0.950439705500723
Seurat,run1_vs_run57,0.998179843795691
Seurat,run1_vs_run58,0.996347331014247
Seurat,run1_vs_run59,0.950717387604507
Seurat,run1_vs_run60,1
Seurat,run1_vs_run61,0.950084422308413
Seurat,run1_vs_run62,0.997313310138654
Seurat,run1_vs_run63,0.951753148824276
Seurat,run1_vs_run64,0.998601253148603
Seurat,run1_vs_run65,1
Seurat,run1_vs_run66,0.996347331014247
Seurat,run1_vs_run67,0.995314978108964
Seurat,run1_vs_run68,1
Seurat,run1_vs_run69,1
Seurat,run1_vs_run70,0.996298058041077
Seurat,run1_vs_run71,0.974794144165014
Seurat,run1_vs_run72,0.998601253148603
Seurat,run1_vs_run73,0.94432073566892
Seurat,run1_vs_run74,0.999578101811737
Seurat,run1_vs_run75,0.952297755240363
Seurat,run1_vs_run76,0.998601253148603
Seurat,run1_vs_run77,0.951753148824276
Seurat,run1_vs_run78,0.996347331014247
Seurat,run1_vs_run79,0.943399499819876
Seurat,run1_vs_run80,0.998179843795691
Seurat,run1_vs_run81,0.998179843795691
Seurat,run1_vs_run82,1
Seurat,run1_vs_run83,0.996347331014247
Seurat,run1_vs_run84,0.998179843795691
Seurat,run1_vs_run85,1
Seurat,run1_vs_run86,0.998179843795691
Seurat,run1_vs_run87,0.952297755240363
Seurat,run1_vs_run88,0.999578101811737
Seurat,run1_vs_run89,0.951753148824276
Seurat,run1_vs_run90,1
Seurat,run1_vs_run91,0.998601253148603
Seurat,run1_vs_run92,0.998179843795691
Seurat,run1_vs_run93,0.995925818965866
Seurat,run1_vs_run94,0.951753148824276
Seurat,run1_vs_run95,0.998601253148603
Seurat,run1_vs_run96,0.999578101811737
Seurat,run1_vs_run97,0.998601253148603
Seurat,run1_vs_run98,0.999578101811737
Seurat,run1_vs_run99,0.951753148824276
Seurat,run2_vs_run3,0.996347331014247
Seurat,run2_vs_run4,0.998601253148603
Seurat,run2_vs_run5,1
Seurat,run2_vs_run6,0.998601253148603
Seurat,run2_vs_run7,0.997313310138654
Seurat,run2_vs_run8,0.998504722362166
Seurat,run2_vs_run9,0.998601253148603
